****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : RS_Top
Version: R-2020.09-SP1
Date   : Mon May  3 11:57:35 2021
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

  Startpoint: in[4] (input port)
  Endpoint: valid (output port)
  Path Group: (none)
  Path Type: max

  Point                                    Incr       Path
  -----------------------------------------------------------
  dec/U5589/Y (NAND2X1)                    0.04       5.61 r
  dec/U5594/Y (NOR3X1)                     0.03       5.64 f
  dec/U5595/Y (NAND3X1)                    0.04       5.69 r
  dec/U5603/Y (NOR2X1)                     0.03       5.71 f
  dec/U5604/Y (NAND3X1)                    0.04       5.75 r
  dec/U5959/Y (INVX1)                      0.03       5.77 f
  dec/U5962/Y (NAND3X1)                    0.04       5.81 r
  dec/U5963/Y (NOR3X1)                     0.03       5.84 f
  dec/U5964/Y (NAND3X1)                    0.04       5.88 r
  dec/U5965/Y (NOR3X1)                     0.03       5.91 f
  dec/U5992/Y (XNOR2X1)                    0.08       5.99 r
  dec/U6344/Y (INVX1)                      0.06       6.05 f
  dec/U6348/Y (OAI21X1)                    0.05       6.10 r
  dec/U6349/Y (AOI21X1)                    0.02       6.12 f
  dec/U1454/Y (BUFX2)                      0.03       6.15 f
  dec/U715/Y (OR2X1)                       0.04       6.19 f
  dec/U6350/Y (AOI22X1)                    0.04       6.23 r
  dec/U6352/Y (XNOR2X1)                    0.06       6.29 r
  dec/U6398/Y (INVX1)                      0.05       6.33 f
  dec/U6399/Y (AND2X1)                     0.05       6.39 f
  dec/U6538/Y (AOI22X1)                    0.05       6.43 r
  dec/U470/Y (BUFX2)                       0.03       6.47 r
  dec/U468/Y (INVX1)                       0.01       6.48 f
  dec/U469/Y (INVX1)                       0.05       6.53 r
  dec/U6539/Y (MUX2X1)                     0.10       6.62 r
  dec/U6544/Y (XNOR2X1)                    0.09       6.71 r
  dec/U6579/Y (XNOR2X1)                    0.09       6.80 r
  dec/U6619/Y (XNOR2X1)                    0.08       6.88 r
  dec/U6620/YS (FAX1)                      0.09       6.97 f
  dec/U6621/Y (MUX2X1)                     0.07       7.04 r
  dec/U6628/YS (FAX1)                      0.10       7.14 r
  dec/U6629/YS (FAX1)                      0.09       7.22 f
  dec/U6715/Y (MUX2X1)                     0.04       7.26 r
  dec/U6716/Y (OAI21X1)                    0.02       7.28 f
  dec/U6717/Y (AOI21X1)                    0.02       7.30 r
  dec/U1901/Y (INVX1)                      0.02       7.32 f
  dec/U1904/Y (NOR2X1)                     0.03       7.34 r
  dec/U1905/Y (INVX1)                      0.02       7.36 f
  dec/U1903/Y (NOR2X1)                     0.03       7.39 r
  dec/U1899/Y (INVX1)                      0.02       7.41 f
  dec/U6722/Y (NOR3X1)                     0.03       7.44 r
  dec/U717/Y (AND2X1)                      0.03       7.47 r
  dec/valid (RS_Decoder)                   0.00       7.47 r
  valid (out)                              0.00       7.47 r
  data arrival time                                   7.47
  -----------------------------------------------------------
  (Path is unconstrained)


